th1,th2,th3,th4,th5,th6,th7,th8,th9,th10,th11,th12,th13,th14,th15,th16,th17,th18
28,28,28.1,28.2,28.5,28.2,28.1,27.9,32.1,28.2,28,28,28.5,28,27.9,27.9,145,36.2
28,28,28,28.1,28.4,28.1,28,27.8,32.2,28.2,27.9,27.7,28.7,28.1,27.8,27.9,123,36.2
28.1,28,28,28,28.3,28.1,27.9,27.8,32.2,28.1,27.7,27.7,28.9,28,27.9,27.9,120,36.2
28,28,28,28,28.3,28,28,27.8,32.3,28.2,27.8,27.7,28.8,28,28,27.9,124,36.2
28,27.9,27.9,27.9,28.2,28,27.9,27.7,32.4,28.3,27.8,27.7,28.7,27.9,27.8,27.8,159,36.2
28.2,28.2,28.1,28.1,28.4,28.1,28.1,27.9,32.4,28.3,27.9,27.8,28.8,28.1,27.9,28,138,36.2
28.1,28.1,28.1,28.2,28.4,28.1,28,28,32.5,28.4,28,27.9,28.8,28,28,28,128,36.2
28.4,28.3,28.3,28.2,33,32.5,29.7,28,34.4,34.2,31.4,28.1,32,32,29.3,28,443,36.2
28.5,28.5,28.4,28.4,32.9,32.5,29.9,28.1,34.6,34.4,31.6,28.3,32.4,32.4,29.5,28.1,446,36.2
28.3,28.3,28.2,28.2,33.3,32.9,29.8,28.1,34.6,34.2,31.2,28.2,32.1,32.1,29.2,28.1,483,36.2
28.4,28.4,28.3,28.2,33.4,33.2,30,28.1,34.6,34.3,31.4,28.1,32,31.8,29.3,28.1,451,36.2
28.1,28.1,28.1,28.2,28.5,28.2,28.1,27.9,31.5,28.1,27.9,27.9,28.4,28.2,28,28,144,36.2
28.2,28.1,28,28.1,28.5,28.1,28,28,31.5,28.1,27.9,27.9,28.3,28.1,28,28,148,36.2
28,28,27.9,28,28.4,28,28,27.7,31.5,28,27.8,27.7,28.2,28,27.9,27.8,153,36.2
28.2,28.2,28.2,28.2,28.6,28.2,28.2,28.1,31.7,28.2,28,27.8,28.3,28.1,28,28,149,36.2
28,28.1,28,28,28.6,28,27.9,27.8,31.4,28,27.9,27.8,28.2,28,28,27.9,148,36.2
28.1,28,28,28,28.1,28.1,28,27.9,28.1,27.9,27.9,27.7,27.8,27.9,27.8,27.8,70,28
28,28.1,28.1,28.1,28.1,28.1,28,28,28.1,28,28,27.8,28,27.9,27.9,27.9,48,28
